Time,Scheduled,Crawled
272.8223526477814,80619,432
273.10596346855164,80975,433
273.41739416122437,80975,434
273.68043851852417,80975,435
274.4611313343048,80975,436
274.7900176048279,80975,437
275.8994953632355,81263,438
276.0612199306488,81263,439
276.27240443229675,81263,440
278.7289526462555,83796,441
278.787713766098,83796,442
278.8651604652405,83807,443
278.9208209514618,83824,444
278.9918212890625,83824,445
279.0729606151581,83888,446
279.1365895271301,83888,447
279.5257468223572,84069,448
279.7123529911041,84131,449
279.80586290359497,84131,450
280.52790331840515,84131,451
280.7326991558075,84153,452
281.63835430145264,84444,453
281.75648498535156,84446,454
281.847407579422,84446,455
282.1364281177521,84762,456
282.19039845466614,84762,457
282.24754309654236,84762,458
282.2780511379242,84762,459
284.02221488952637,85046,460
284.2025604248047,85046,461
284.3040335178375,85046,462
284.3847646713257,85046,463
284.58349990844727,85261,464
284.7465796470642,85261,465
284.7870190143585,85261,466
284.954922914505,85261,467
285.790744304657,85534,468
286.49721908569336,85534,469
286.73547434806824,85534,470
287.0385317802429,85534,471
287.4100589752197,85712,472
287.54991698265076,85712,473
287.71674633026123,85712,474
287.9222149848938,85712,475
289.28063893318176,85972,476
289.3194878101349,85972,477
289.39346385002136,85972,478
289.46944546699524,85972,479
289.75393056869507,86233,480
289.80290126800537,86233,481
289.8699481487274,86233,482
289.94716906547546,86233,483
290.6225595474243,86477,484
290.7640104293823,86477,485
290.9032745361328,86477,486
290.9709975719452,86477,487
291.30762934684753,86775,488
291.42685103416443,86775,489
291.48981285095215,86775,490
291.61925888061523,86775,491
293.0523703098297,87140,492
293.12136578559875,87140,493
293.1562385559082,87140,494
293.2067472934723,87140,495
293.5513255596161,87624,496
293.59823083877563,87624,497
293.6997346878052,87624,498
293.798898935318,87624,499
294.2949824333191,88203,500
294.36926317214966,88203,501
294.4580864906311,88203,502
294.49697947502136,88203,503
295.3454613685608,88700,504
295.38130712509155,88700,505
295.41595554351807,88700,506
295.46641850471497,88700,507
295.9465365409851,89179,508
296.11294174194336,89219,509
296.3237113952637,89219,510
296.5152826309204,89219,511
297.60238432884216,89668,512
297.7207827568054,89668,513
298.0439269542694,89668,514
298.6985402107239,89668,515
299.0314972400665,89968,516
299.0774610042572,89968,517
299.12656593322754,89968,518
299.9030673503876,90285,519
299.9820923805237,90285,520
300.5537929534912,90285,521
300.8498148918152,90285,522
301.00607204437256,90285,523
301.29137682914734,90558,524
301.515207529068,90558,525
301.7839801311493,90558,526
303.42763113975525,90693,527
304.5486934185028,90693,528
304.6210672855377,90693,529
304.7264235019684,90693,530
304.9008228778839,90693,531
306.0905485153198,91204,532
306.1623475551605,91204,533
306.2848036289215,91204,534
306.46511340141296,91204,535
306.5106945037842,91204,536
306.5623631477356,91204,537
307.17621970176697,91738,538
309.7179367542267,91738,539
310.8301944732666,92044,540
311.1198742389679,92044,541
311.1911897659302,92047,542
311.2624821662903,92047,543
311.4609270095825,92047,544
311.7372145652771,92047,545
314.022980928421,92410,546
314.90245938301086,92410,547
315.2072923183441,92652,548
315.4829270839691,92652,549
315.5435960292816,92652,550
315.7318124771118,92652,551
315.81318950653076,92652,552
315.9099431037903,92652,553
318.3461763858795,94819,554
318.4427468776703,94819,555
318.512197971344,94819,556
318.6288044452667,94825,557
318.7919192314148,94825,558
319.6110062599182,95011,559
321.0304491519928,95027,560
321.31595158576965,95129,561
322.72996973991394,95356,562
323.4999840259552,95400,563
323.61781907081604,95400,564
323.8966956138611,95400,565
325.7022590637207,95426,566
326.0227355957031,95631,567
327.10975217819214,95631,568
328.978218793869,95816,569
329.4756944179535,95816,570
330.4000587463379,95816,571
330.4525716304779,95816,572
330.701504945755,95816,573
330.819363117218,95816,574
331.8988378047943,96045,575
332.340726852417,96045,576
334.26861023902893,96226,577
334.55125284194946,96226,578
337.0668315887451,96226,579
337.35185718536377,96226,580
337.77803015708923,96226,581
338.0067481994629,96226,582
338.581081867218,96744,583
338.71315026283264,96744,584
341.559623003006,100088,585
341.96780824661255,100088,586
342.03721833229065,100121,587
342.5918173789978,100530,588
342.7863516807556,100534,589
342.940776348114,100565,590
343.01314091682434,100606,591
343.0951385498047,100621,592
343.65333795547485,101377,593
343.7022137641907,101377,594
343.80254101753235,101377,595
343.854177236557,101377,596
344.12957525253296,101377,597
344.5168626308441,101377,598
344.84463763237,101377,599
346.6987466812134,101910,600
347.12116384506226,102436,601
347.17251682281494,102436,602
347.37291169166565,102436,603
347.4229896068573,102436,604
347.4686236381531,102436,605
347.6173663139343,102436,606
347.7253940105438,102436,607
348.5162923336029,102854,608
351.225056886673,105420,609
351.5631539821625,105636,610
351.7834942340851,105659,611
352.1975247859955,105836,612
352.4369900226593,105849,613
352.6379568576813,105849,614
352.79518723487854,105876,615
353.18686079978943,106059,616
353.3612196445465,106059,617
353.449866771698,106059,618
353.9257209300995,106296,619
354.1343231201172,106314,620
354.3137860298157,106314,621
354.6159579753876,106314,622
354.82964873313904,106314,623
356.14944648742676,106607,624
356.6002514362335,106607,625
357.36324429512024,106951,626
357.61795139312744,106951,627
358.1114115715027,106951,628
358.53633737564087,106951,629
360.28004240989685,107298,630
362.6094298362732,107298,631
366.4371929168701,110737,632
366.654757976532,110824,633
367.10940861701965,110843,634
367.4304461479187,110846,635
367.77155661582947,110846,636
368.1040737628937,110846,637
368.84218525886536,110901,638
369.26117491722107,110901,639
369.65799045562744,110995,640
370.22442507743835,111231,641
370.4626965522766,111231,642
370.7481439113617,111245,643
371.09726643562317,111245,644
371.1773898601532,111245,645
371.41446685791016,111245,646
371.89734864234924,111391,647
372.5581319332123,111584,648
372.62997817993164,111584,649
372.67587327957153,111584,650
375.00427985191345,111781,651
375.1952369213104,111781,652
375.2464804649353,111781,653
375.313157081604,111781,654
375.39533829689026,111781,655
376.47698402404785,111964,656
376.61494040489197,111964,657
377.23229789733887,112189,658
379.56755685806274,112189,659
380.29113721847534,112189,660
380.3950397968292,112189,661
380.48206305503845,112189,662
